[Chart Version]
ProgID = KOSCOMCHART.KoscomChartCtrl.1
#ChartMode : DEV/HTS/FX/WORLDON
ChartMode = FX

# Comment mark : '#'
# Format :
#	Code ID ; Meta Text ; Other Meta Text ; English Text (Language ID 0) ; Korean Text (Language ID 1) ; Taiwan Text (Language ID 2) ;
#	Code ID is in MetaTable.h (-1 is Temp Meta Code)

### Packet Name Language Table ####################################################
[CodePage 0]
87;_KsqPureBuy_;코스닥순매수;KosdaqPureBuy;코스닥순매수;
88;_K200PureBuy_;K200순매수;K200PureBuy;K200순매수;
89;_FutPureBuy_;선물순매수;FuturePureBuy;선물순매수;
90;_COptPureBuy_;콜옵션순매수;CallOptionPureBuy;콜옵션순매수;
91;_POptPureBuy_;풋옵션순매수;PutOptionPureBuy;풋옵션순매수;
92;_RainbowChart_;그물차트;Net Chart;그물차트;
93;_BuySellOverhangingSupply_;매수매도대기매물;BuySell Waiting ForSale;매수매도대기매물;
;_VolumeAmount_;거래대금;Trading Value;거래대금;
;_TraderPureSell_Foreign_;거래원 순매도_외국계;TraderPureSell_Foreign;거래원 순매도_외국계;
;_TraderPureSell_Total_;거래원 순매도_전체;TraderPureSell_Total;거래원 순매도_전체;
;_TraderPureBuy_Foreign_;거래원 순매수_외국계;TraderPureBuy_Foreign;거래원 순매수_외국계;
;_TraderPureBuy_Total_;거래원 순매수_전체;TraderPureBuy_Total;거래원 순매수_전체;
;_Interest_National3Year_;국고채3년금리;Interest_National3Year;국고채3년금리;
;_NewsStrength_;뉴스강도;News Strength;뉴스강도;
;_NewsCount_;뉴스건수;News Numbers;뉴스건수;
;_NewsExist_;뉴스유무;NewsExist;뉴스유무;
;_ADR_;등락주비율;ADR;등락주비율;
;_Sell Volume_;매도거래량;Sell Volume;매도거래량;
;_Buy Volume_;매수거래량;Buy Volume;매수거래량;
;_Variable_;변동성;Variable;변동성;
;_SystemSignal_;시스템신호;SystemSignal;시스템신호;
;_CreditBalance_;신용잔고;Credit Balance;신용잔고;
;_DepositMoney_;예탁금;Deposit;예탁금;
;_Foreign Exhaustion Rate_;외국인소진율;Foreigner's Reducing (%);외국인소진율;
;_AssetsChange_;자산변화;AssetsChange;자산변화;
;_ContractStrength_;체결강도;ContractStrength;체결강도;
;_InvestorPureBuy_Person_;투자자순매수_개인;InvestorPureBuy_Person;투자자순매수_개인;
;_InvestorPureBuy_Organ_;투자자순매수_기관;InvestorPureBuy_Organ;투자자순매수_기관;
;_InvestorPureBuy_Foreign_;투자자순매수_외국인;InvestorPureBuy_Foreign;투자자순매수_외국인;
;_ProgramTrade_PureBuy_Amount_;프로그램매매 순매수_금액;ProgramTradePureBuy_Amount;프로그램매매 순매수_금액;
;_ProgramTrade_PureBuy_Count_;프로그램매매 순매수_수량;ProgramTradePureBuy_Count;프로그램매매 순매수_수량;
;_Interest_Company3Year_;회사채3년금리;Interest_Company3Year;회사채3년금리;
;_RotationRate_;회전률;RotationRate;회전률;
;_Account Date_;accountdate;Account Date;accountdate;
;_Big News_;bignews;Big News;bignews;
;_Big News Date_;bignewsdate;Big News Date;bignewsdate;
;_CD Interest_;CD금리;CD Interest;CD금리;
;_Itemize_;itemize;Itemize;itemize;
;_OptimizeBuySell_;OptimizeBuySell;OptimizeBuySell;OptimizeBuySell;
;_OverhangingSupply_;대기매물;OverhangingSupply;대기매물;
;_OverhangingSupply__Price Band_;대기매물 가격대;OverhangingSupply Price-Band;대기매물 가격대;
;_Prespan1_;선행스팬1;Preceding Span1;선행스팬1;
;_Prespan2_;선행스팬2;Preceding Span2;선행스팬2;

### Indicator Sub Graph Title Language Table ####################################################
[CodePage 1]
;_%B+Slow%D_;%B+Slow%D;%B+Slow%D;%B+Slow%D;
;_%B+Slow%K_;%B+Slow%K;%B+Slow%K;%B+Slow%K;
;_%D_;%D;%D;%D;
;_Resistance1_;1차저항;Resistance1;1차저항;
;_Support1_;1차지지;Support1;1차지지;
;_Resistance2_;2차저항;Resistance2;2차저항;
;_Support2_;2차지지;Support2;2차지지;
;_KspPureBuy_Person_;거래소 순매수(개인);KospiPureBuy(Person);거래소 순매수(개인);
;_KspPureBuy_Organ_;거래소 순매수(기관);KospiPureBuy(Organ);거래소 순매수(기관);
;_KspPureBuy_Foreign_;거래소 순매수(외국인);KospiPureBuy(Foreign);거래소 순매수(외국인);
;_Disparity1(SMA)_;단순 이격1;Disparity1(SMA);단순 이격1;
;_Sell Energy_;매도에너지;Sell Energy;매도에너지;
;_Buy Energy_;매수에너지;Buy Energy;매수에너지;
;_FutPureBuy_Person_;선물 순매수(개인);FuturePureBuy(Person);선물 순매수(개인);
;_FutPureBuy_Organ_;선물 순매수(기관);FuturePureBuy(Organ);선물 순매수(기관);
;_FutPureBuy_Foreign_;선물 순매수(외국인);FuturePureBuy(Foreign);선물 순매수(외국인);
;_Prespan1,Prespan2_;선행스팬1,선행스팬2;Preceding Span1,Preceding Span2;선행스팬1,선행스팬2;
;_PsychologicalLine_;심리도;Psychology Degree;심리도;
;_Disparity1_;이격1;Disparity1;이격1;
;_Disparity2_;이격2;Disparity2;이격2;
;_Disparity3_;이격3;Disparity3;이격3;
;_Disparity4_;이격4;Disparity4;이격4;
;_Disparity1(EMA)_;지수 이격1;Disparity1(EMA);지수 이격1;
;_KdqPureBuy_Person_;코스닥 순매수(개인);KosdaqPureBuy(Person);코스닥 순매수(개인);
;_KdqPureBuy_Organ_;코스닥 순매수(기관);KosdaqPureBuy(Organ);코스닥 순매수(기관);
;_KdqPureBuy_Foreign_;코스닥 순매수(외국인);KosdaqPureBuy(Foreign);코스닥 순매수(외국인);
;_COptPureBuy_Person_;콜옵션 순매수(개인);CallOptionPureBuy(Person);콜옵션 순매수(개인);
;_COptPureBuy_Organ_;콜옵션 순매수(기관);CallOptionPureBuy(Organ);콜옵션 순매수(기관);
;_COptPureBuy_Foreign_;콜옵션 순매수(외국인);CallOptionPureBuy(Foreign);콜옵션 순매수(외국인);
;_InvestorPureBuy_Person_;투자자 순매수(개인);InvestorPureBuy(Person);투자자 순매수(개인);
;_InvestorPureBuy_Organ_;투자자 순매수(기관);InvestorPureBuy(Organ);투자자 순매수(기관);
;_InvestorPureBuy_Foreign_;투자자 순매수(외국인);InvestorPureBuy(Foreign);투자자 순매수(외국인);
;_POptPureBuy_Person_;풋옵션 순매수(개인);PutOptionPureBuy(Person);풋옵션 순매수(개인);
;_POptPureBuy_Organ_;풋옵션 순매수(기관);PutOptionPureBuy(Organ);풋옵션 순매수(기관);
;_POptPureBuy_Foreign_;풋옵션 순매수(외국인);PutOptionPureBuy(Foreign);풋옵션 순매수(외국인);
;_ADX_;ADX;ADX;ADX;
;_Demark Resistance_;Demark 저항;Demark Resistance;Demark 저항;
;_Demark Support_;Demark 지지;Demark Support;Demark 지지;
;_K200PureBuy_Person_;K200 순매수(개인);K200PureBuy(Person);K200 순매수(개인);
;_K200PureBuy_Organ_;K200 순매수(기관);K200PureBuy(Organ);K200 순매수(기관);
;_K200PureBuy_Foreign_;K200 순매수(외국인);K200PureBuy(Foreign);K200 순매수(외국인);
;_LRS+Slow%D_;LRS+Slow%D;LRS+Slow%D;LRS+Slow%D;
;_LRS+Slow%K_;LRS+Slow%K;LRS+Slow%K;LRS+Slow%K;
;_MACD Oscillator_;MACD Oscillator;MACD Oscillator;MACD Oscillator;
;_MACD+Slow%D_;MACD+Slow%D;MACD+Slow%D;MACD+Slow%D;
;_MACD+Slow%K_;MACD+Slow%K;MACD+Slow%K;MACD+Slow%K;
;_Momentum+Slow%D_;Momentum+Slow%D;Momentum+Slow%D;Momentum+Slow%D;
;_Momentum+Slow%K_;Momentum+Slow%K;Momentum+Slow%K;Momentum+Slow%K;
;_OBV+Slow%D_;OBV+Slow%D;OBV+Slow%D;OBV+Slow%D;
;_OBV+Slow%K_;OBV+Slow%K;OBV+Slow%K;OBV+Slow%K;
;_Price Osc_;Price Osc;Price Osc;Price Osc;
;_PSAR_;PSAR;PSAR;PSAR;
;_Renko_;Renko;Renko;Renko;
;_ROC+Slow%D_;ROC+Slow%D;ROC+Slow%D;ROC+Slow%D;
;_ROC+Slow%K_;ROC+Slow%K;ROC+Slow%K;ROC+Slow%K;
;_RSI+Slow%D_;RSI+Slow%D;RSI+Slow%D;RSI+Slow%D;
;_RSI+Slow%K_;RSI+Slow%K;RSI+Slow%K;RSI+Slow%K;
;_Signal_;Signal;Signal;Signal;
;_Sto %D_;Sto %D;Sto %D;Sto %D;
;_Sto %K_;Sto %K;Sto %K;Sto %K;
;_Stochastic Oscillator_;Stochastic Oscillator;Stochastic Oscillator;Stochastic Oscillator;
;_7Binary Wave_;7Binary Wave;7Binary Wave;7Binary Wave;
;_A Ratio_;A Ratio;A Ratio;A Ratio;
;_AD Line_;AD Line;AD Line;AD Line;
;_ADXR_;ADXR;ADXR;ADXR;
;_Aroon Down_;Aroon Down;Aroon Down;Aroon Down;
;_Aroon Up_;Aroon Up;Aroon Up;Aroon Up;
;_AssetsChange_;자산변화;AssetsChange;자산변화;
;_ATR_;ATR;ATR;ATR;
;_B Ratio_;B Ratio;B Ratio;B Ratio;
;_Band %B_;Band %B;Band %B;Band %B;
;_Band Width_;Band Width;Band Width;Band Width;
;_BaseLine_;기준선;BaseLine;기준선;
;_BB_Center_;BB_중심선;BB_Center;BB_중심선;
;_BB_LBound_;BB_하한선;BB_LBound;BB_하한선;
;_BB_UBound_;BB_상한선;BB_UBound;BB_상한선;
;_BigNews_;빅뉴스;Big News;빅뉴스;
;_Binary Wave_;Binary Wave;Binary Wave;Binary Wave;
;_Box Chart_;Box Chart;Box Chart;Box Chart;
;_Buy_;매수;Buy;매수;
;_BuySellOverhangingSupply_;매수매도대기매물;BuySell Waiting ForSale;매수매도대기매물;
;_CCI_;CCI;CCI;CCI;
;_CMF_;CMF;CMF;CMF;
;_CO_;CO;CO;CO;
;_ComparisonChart_;상대비교차트;Relative Comparison Chart;상대비교차트;
;_CV_;CV;CV;CV;
;_DEMA_;DEMA;DEMA;DEMA;
;_Dispersion_;분산형;Diverse Type;분산형;
;_DiversionLine_;전환선;Converse Line;전환선;
;_DPO_;DPO;DPO;DPO;
;_DRF_;DRF;DRF;DRF;
;_E_Center_;E_중심선;E_Center;E_중심선;
;_E_LBound_;E_하한선;E_LBound;E_하한선;
;_E_UBound_;E_상한선;E_UBound;E_상한선;
;_Elder Ray Bear_;Elder Ray Bear;Elder Ray Bear;Elder Ray Bear;
;_Elder Ray Bull_;Elder Ray Bull;Elder Ray Bull;Elder Ray Bull;
;_EOM_;EOM;EOM;EOM;
;_Force Index_;Force Index;Force Index;Force Index;
;_ForeignHolding_;외국인 보유량;Foreigner's Holding;외국인 보유량;
;_ForeignHoldingRate_;외국인 보유율;Foreigner's Holding (%);외국인 보유율;
;_ForeignPureBuy_;외국인 순매수;Foreigner's Net Purchase;외국인 순매수;
;_Formula_;Formula;Formula;Formula;
;_Fourier Transform_;Fourier Transform;Fourier Transform;Fourier Transform;
;_FuOpP&F_;FuOpP&F;FuOpP&F;FuOpP&F;
;_High MA_;High MA;High MA;High MA;
;_InverseTimeLine_;역시계곡선;InverseLine;역시계곡선;
;_KagiChart_;KagiChart;KagiChart;KagiChart;
;_Lock_;락;Lock;락;
;_Low MA_;Low MA;Low MA;Low MA;
;_LRS_;LRS;LRS;LRS;
;_MAC Lower_;MAC Lower;MAC Lower;MAC Lower;
;_MAC Upper_;MAC Upper;MAC Upper;MAC Upper;
;_MACD_;MACD;MACD;MACD;
;_MAO_;MAO;MAO;MAO;
;_MarketProfile_;MarketProfile;MarketProfile;MarketProfile;
;_Mass Index_;Mass Index;Mass Index;Mass Index;
;_MDI_;MDI;MDI;MDI;
;_MFI_;MFI;MFI;MFI;
;_Momentum_;Momentum;Momentum;Momentum;
;_NCO_;NCO;NCO;NCO;
;_NDI_;NDI;NDI;NDI;
;_NewsAndNotice_;뉴스 공시;News Disclosure;뉴스 공시;
;_NVI_;NVI;NVI;NVI;
;_OBV_;OBV;OBV;OBV;
;_OBV+Momentum_;OBV+Momentum;OBV+Momentum;OBV+Momentum;
;_OptimizeBuySell_;OptimizeBuySell;OptimizeBuySell;OptimizeBuySell;
;_OrganPureBuy_;기관순매수량;OrganPureBuy;기관순매수량;
;_OrganPureBuyAccumulation_;기관순매수누적;OrganPureBuyAccumulation;기관순매수누적;
;_OverhangingSupply_;대기매물;OverhangingSupply;대기매물;
;_P&F_;P&F;P&F;P&F;
;_PDI_;PDI;PDI;PDI;
;_PIVOT_;PIVOT;PIVOT;PIVOT;
;_PMA1_;가격1;PMA1;가격1;
;_PMA2_;가격2;PMA2;가격2;
;_PMA3_;가격3;PMA3;가격3;
;_PMA4_;가격4;PMA4;가격4;
;_PMA5_;가격5;PMA5;가격5;
;_PMA6_;가격6;PMA6;가격6;
;_PMA7_;가격7;PMA7;가격7;
;_PMA8_;가격8;PMA8;가격8;
;_PMA9_;가격9;PMA9;가격9;
;_PMA10_;가격10;PMA10;가격10;
;_Postspan_;후행스팬;Postspan;후행스팬;
;_Price Ch Lower_;Price Ch Lower;Price Ch Lower;Price Ch Lower;
;_Price Ch Upper_;Price Ch Upper;Price Ch Upper;Price Ch Upper;
;_Price_;가격;Price;가격;
;_PVI_;PVI;PVI;PVI;
;_PVT_;PVT;PVT;PVT;
;_Qstic_;Qstic;Qstic;Qstic;
;_RainbowChart_;그물차트;Net Chart;그물차트;
;_RMI_;RMI;RMI;RMI;
;_Roc_;Roc;Roc;Roc;
;_RSI_;RSI;RSI;RSI;
;_RSI+MACD_;RSI+MACD;RSI+MACD;RSI+MACD;
;_Sell_;매도;Sell;매도;
;_Sigma_;Sigma;Sigma;Sigma;
;_Sonar_;Sonar;Sonar;Sonar;
;_Sonar+PsychologicalLine_;Sonar+투자심리도;Sonar+PsychologicalLine;Sonar+투자심리도;
;_SROC_;SROC;SROC;SROC;
;_Standard Deviation_;Standard Deviation;Standard Deviation;Standard Deviation;
;_Standard Error_;Standard Error;Standard Error;Standard Error;
;_Starc Center_;Starc Center;Starc Center;Starc Center;
;_Starc Lower_;Starc Lower;Starc Lower;Starc Lower;
;_Starc Upper_;Starc Upper;Starc Upper;Starc Upper;
;_Sto Fast%K_;Sto Fast%K;Sto Fast%K;Sto Fast%K;
;_Sto Fast%K_2_;Sto Fast%K_2;Sto Fast%K_2;Sto Fast%K_2;
